Metric,Dynamic Portfolio,Equal-Weighted Portfolio
Annualized Return,0.12776269476579372,0.08759259957407095
Annualized Std Dev,0.05927463299835611,0.05310903864512952
Sharpe Ratio,1.6493175886640246,1.0844218054651722
Max Drawdown,-0.029669964071423083,-0.025434944528147194
Average Turnover,0.11794667116835514,0.0
