,commodity,equity,fx,fi
2023-12-08,0.22222222222222224,0.3333333333333333,0.22222222222222224,0.22222222222222224
2023-12-15,0.17391304347826092,0.391304347826087,0.2608695652173913,0.17391304347826092
2023-12-22,0.1403508771929825,0.40350877192982454,0.31578947368421045,0.1403508771929825
2023-12-29,0.1403508771929825,0.40350877192982454,0.31578947368421045,0.1403508771929825
2024-01-05,0.11188811188811193,0.3986013986013986,0.37762237762237755,0.11188811188811193
2024-01-12,0.11085271317829458,0.4434108527131783,0.3348837209302325,0.11085271317829458
2024-01-19,0.1,0.4,0.4,0.1
2024-01-26,0.1276595744680851,0.425531914893617,0.34042553191489366,0.10638297872340426
2024-02-02,0.11320754716981131,0.44339622641509435,0.30188679245283023,0.14150943396226412
2024-02-09,0.11699779249448124,0.46799116997792495,0.28256070640176606,0.13245033112582777
2024-02-16,0.12019103210400636,0.48076412841602545,0.27169010347572303,0.1273547360042451
2024-02-23,0.16703539823008848,0.46324975417895775,0.2517207472959686,0.11799410029498521
2024-03-01,0.22226462410728884,0.44354794744589215,0.22330044158534595,0.11088698686147304
2024-03-08,0.1974346091683363,0.3939975423580046,0.29753206738539584,0.11103578108826324
2024-03-15,0.17628614609844068,0.44644185444745393,0.2656615358422419,0.11161046361186348
2024-03-22,0.17395694327647138,0.4405431854355195,0.26215144947035585,0.12334842181765333
2024-03-29,0.15357354133551543,0.3889225449945706,0.3471507865950726,0.11035312707484143
2024-04-05,0.1851350042377642,0.31256763107140084,0.40183789175266804,0.10045947293816701
2024-04-12,0.16490119325923064,0.2784064285956961,0.4453539025160586,0.11133847562901465
2024-04-19,0.19175130635907384,0.3237380841633214,0.3876084875820837,0.09690212189552093
2024-04-26,0.25590189762745447,0.2880299892769595,0.3448555297732712,0.11121258332231479
2024-05-03,0.26639837908991676,0.2998442879246397,0.3470058663883549,0.08675146659708872
2024-05-10,0.25658440201864074,0.28879818105004695,0.33422235160884445,0.1203950653224679
2024-05-17,0.30132133418212914,0.33915176658731655,0.26166393100530794,0.09786296822524644
2024-05-24,0.2554082636484377,0.28747438030726796,0.33269033435131035,0.12442702169298392
2024-05-31,0.2554082636484377,0.28747438030726796,0.33269033435131035,0.12442702169298393
2024-06-07,0.2188741897940009,0.24635350938720746,0.42765253369211254,0.10711976712667913
2024-06-14,0.18038024262648894,0.30454005908811005,0.41206375862832084,0.10301593965708021
2024-06-21,0.17650005477185582,0.29798904983500785,0.4031997901122407,0.12231110528089557
2024-06-28,0.17602673740722038,0.29718993738181093,0.40211853570512923,0.1246647895058395
2024-07-05,0.15320925552854378,0.38799999699625853,0.34999388386712166,0.10879686360807606
2024-07-12,0.16962764120357482,0.36905438168730004,0.36905438168730004,0.09226359542182501
2024-07-19,0.18445252578703744,0.36246554409465,0.36246554409465,0.0906163860236625
2024-07-26,0.24558526812251405,0.32173119687332663,0.32173119687332663,0.11095233813083265
2024-08-02,0.20902416920427644,0.410750998915758,0.273833999277172,0.10639083260279353
2024-08-09,0.20520546633051018,0.403246909671279,0.26883127311418603,0.12271635088402487
2024-08-16,0.15876301372214183,0.38683914361821453,0.3119833784078581,0.1424144642517855
2024-08-23,0.19969480994841235,0.4192723172033571,0.26161198798798896,0.11942088486024155
2024-08-30,0.24230248881519043,0.3391532842071346,0.3174305622151869,0.10111366476248809
2024-09-06,0.23664979253676954,0.33124114712250835,0.3100251964409235,0.12208386389979864
2024-09-13,0.2359616961164596,0.33027801149009933,0.3091237495155317,0.12463654287790943
2024-09-20,0.31648799259331867,0.29532766426243456,0.276411967301688,0.11177237584255877
2024-09-27,0.2748642999883795,0.2564869240047464,0.36008845680798146,0.10856031919889264
2024-10-04,0.21396966917652546,0.2994955453275692,0.3892278283967243,0.09730695709918108
2024-10-11,0.2498817301932499,0.3497620262705645,0.3030364804302999,0.09731976310588557
2024-10-18,0.2874099286475634,0.2681937542647543,0.34854766353156125,0.09584865355612116
2024-10-25,0.2956070076311785,0.2758427780718484,0.3428401714375785,0.08571004285939463
2024-11-01,0.2511078478739454,0.3514782357914229,0.29123077393969293,0.10618314239493877
2024-11-08,0.21564831190810577,0.30184515881362844,0.37515807634562387,0.10734845293264186
2024-11-15,0.18453969416451224,0.38745316019150255,0.32103917744401267,0.10696796819997259
2024-11-22,0.16322584721750497,0.44225132147448304,0.2839600009393913,0.11056283036862076
2024-11-29,0.19776479753620865,0.35722178622431694,0.3440465652436069,0.1009668509958675
2024-12-06,0.193123433287813,0.348838107996517,0.3359720977569824,0.12206636095868764
2024-12-13,0.2047700507393474,0.3534355330047345,0.3534355330047345,0.08835888325118363
2024-12-20,0.26789167547984843,0.3082561366400638,0.3082561366400638,0.11559605124002392
2024-12-27,0.2653959059789153,0.30538431815998707,0.30538431815998707,0.1238354577011106
2025-01-03,0.3094263097309496,0.23736598917355867,0.356048983760338,0.09715871733515373
2025-01-10,0.23977701184330238,0.27590530834346555,0.3874541438505856,0.0968635359626464
2025-01-17,0.27968256291245436,0.3218236108851019,0.30129151283832567,0.09720231336411808
2025-01-24,0.3157755448461501,0.3633548871025206,0.22678208378647666,0.09408748426485253
2025-01-31,0.39843809089503124,0.3056483841078614,0.1907655020321574,0.10514802296495004
