,commodity,equity,fx,fi
2023-12-01,0.22222222222222224,0.3333333333333333,0.22222222222222224,0.22222222222222224
2024-01-01,0.11188811188811193,0.3986013986013986,0.37762237762237755,0.11188811188811193
2024-02-01,0.11320754716981131,0.44339622641509435,0.30188679245283023,0.14150943396226412
2024-03-01,0.22226462410728884,0.44354794744589215,0.22330044158534595,0.11088698686147304
2024-04-01,0.1851350042377642,0.31256763107140084,0.40183789175266804,0.10045947293816701
2024-05-01,0.26639837908991676,0.2998442879246397,0.3470058663883549,0.08675146659708872
2024-06-01,0.2188741897940009,0.24635350938720746,0.42765253369211254,0.10711976712667913
2024-07-01,0.15320925552854378,0.38799999699625853,0.34999388386712166,0.10879686360807606
2024-08-01,0.20902416920427644,0.410750998915758,0.273833999277172,0.10639083260279353
2024-09-01,0.23664979253676954,0.33124114712250835,0.3100251964409235,0.12208386389979864
2024-10-01,0.21396966917652546,0.2994955453275692,0.3892278283967243,0.09730695709918108
2024-11-01,0.2511078478739454,0.3514782357914229,0.29123077393969293,0.10618314239493877
2024-12-01,0.193123433287813,0.348838107996517,0.3359720977569824,0.12206636095868764
2025-01-01,0.3094263097309496,0.23736598917355867,0.356048983760338,0.09715871733515373
