date,bl_portfolio_return,equal_weighted_return,mv_portfolio_return
2023-12-01,-0.0008576506157823029,-0.003408141984573641,0.0019109740412084405
2023-12-08,0.03185495236409387,0.02739567613766214,0.00462179557442636
2023-12-15,0.007943414513495058,0.007575683228846679,0.0020907728818600757
2023-12-22,0.007878857346214536,0.003703070129666359,0.006049856893048291
2023-12-29,-0.01540311260425973,-0.008138303908436558,-0.005511583911093519
2024-01-05,0.009667687239375593,0.00482165451815036,0.007460825381638908
2024-01-12,0.002213716805843595,-0.004436099424523398,-0.0012081871076039439
2024-01-19,0.013546614937110646,0.01042290392146249,0.009115965172932283
2024-01-26,0.015837530118211346,0.011662575551819477,0.006454975851822042
2024-02-02,0.007294851756731321,0.0027547600662128106,0.0019110644446206676
2024-02-09,0.008153508599192371,0.006336114558895712,-0.00016748756011249937
2024-02-16,0.017306145658451556,0.013890179257150356,0.005006566026463515
2024-02-23,0.009557431073340323,0.008275883476766686,0.0031880831757877407
2024-03-01,0.007478468934297203,0.004914724875852569,0.0034030204909038797
2024-03-08,-0.005330654662744705,-0.00026600719538784085,-0.004582079028304971
2024-03-15,0.020486964400789523,0.016807902657147017,0.007225112574682387
2024-03-22,0.008107880491377732,0.01225190296657193,-0.0019181402982386012
2024-03-29,-0.009392632903301234,-0.008828843395837106,-0.003952808575703192
2024-04-05,-0.022925441788559233,-0.020487510174782363,-0.007450641746847749
2024-04-12,-0.01965723179569991,-0.014933984175041954,-0.005682484984150687
2024-04-19,0.01842353029568259,0.016015753554098688,0.0066619423577887835
2024-04-26,0.004106039595407492,0.004224016699081446,0.005396513457501705
2024-05-03,0.025637423888082843,0.021444121763035513,0.006621211735569705
2024-05-10,0.0032564542392271058,0.012640265599302716,-0.0025074965271948396
2024-05-17,-0.010247760917392034,-0.013344411798893613,0.0017407205308160477
2024-05-24,-0.004761664633354165,0.002883766510958674,-0.005701843284094633
2024-05-31,-7.194702182682327e-05,-0.0031693887961252412,0.007614456053207638
2024-06-07,-0.0054511306694463,-0.0001764111396392173,-0.0008623943854293857
2024-06-14,0.01101481052269528,0.009276391886619046,0.00212858260640136
2024-06-21,-0.0036933470483698568,-6.130585360738822e-05,-0.004047378324470658
2024-06-28,-0.0001753982977842402,0.007737212833057011,0.0021760801658406927
2024-07-05,0.025071607251821823,0.017197283332531132,0.008307437706043046
2024-07-12,0.004999340978414418,-0.004812619455611905,0.0019969301572780518
2024-07-19,0.00676576707362566,0.0009629213207321785,0.000759048232204302
2024-07-26,-0.01475973684680385,-0.009503145182155268,-0.002419748699543707
2024-08-02,0.008280870223202778,-0.00011574645580231756,0.0068552710254760115
2024-08-09,0.01968581795037337,0.025169420388521952,0.0037281154094031353
2024-08-16,0.021352152674482913,0.017335672510688085,0.009554940531716667
2024-08-23,0.0131252832596455,0.007798304062078871,0.0040264402478685886
2024-08-30,-0.032105059345129715,-0.030611699395269865,-0.0020012525414911456
2024-09-06,0.030275044325954834,0.03074835082454068,0.01109320984074354
2024-09-13,0.012514291673435395,0.013112502002896527,-7.743257260057514e-05
2024-09-20,0.007970650898066945,0.008080549029511143,0.00016174567321277896
2024-09-27,0.0014209286216878042,0.002724565877087299,-0.002048950304475617
2024-10-04,0.012588434830167292,0.00408687885690143,0.00362340210494192
2024-10-11,0.01225445304900827,0.010215217415330118,0.005788176355880184
2024-10-18,-0.020522515846819432,-0.015540165192063754,-0.003565874584778763
2024-10-25,-0.010622093197838162,-0.011601287218119564,-0.0024878555135835886
2024-11-01,0.0567489136971268,0.03956580285063098,0.025297799618286213
2024-11-08,-0.01822667522425521,-0.015552832391570641,-0.003031458354605706
2024-11-15,0.024281259441001807,0.02319447304965494,0.004148643251979873
2024-11-22,0.01315841333505639,0.011325786665575823,0.009468761540732671
2024-11-29,-0.01983321561468172,-0.010362375160600932,-0.006810559271930684
2024-12-06,-0.01816236724274474,-0.01437956402939947,-0.00335564445755305
2024-12-13,-0.02485044515876958,-0.029573857765597532,0.0014909872807307451
2024-12-20,0.0020875144908440086,0.005334396697167409,-0.0012265093125001332
2024-12-27,-0.005001272538970069,-0.0011018147694096259,-0.007152432006637675
2025-01-03,-0.0172150986516846,-0.01622760709613466,-0.009988624314091301
2025-01-10,0.04920252911581485,0.038081195113160694,0.013788215948992568
2025-01-17,0.018360008812128018,0.011831264585740981,0.010538980094844708
2025-01-24,0.0005109657077032193,-0.004353471293168614,0.00876084442466529
2025-01-31,-0.005905561338878641,0.0005854658949611424,-0.007372311150305011
2025-02-07,0.0034160627863768114,0.010648451181567986,-0.00602341822467611
2025-02-14,-0.00942074450286042,-0.0074178024836637595,-0.001439654762444492
2025-02-21,0.007009195176778589,0.0021606288052165128,0.004949552583259503
2025-02-28,-0.02367743979217242,-0.023595196823488884,-0.005107856218113733
2025-03-07,-0.020918501991205558,-0.018596007432852137,-0.016484272197674465
2025-03-14,0.005996407634888319,0.007282342209981262,-0.0014804486178999748
2025-03-21,-0.012566507811871328,-0.004614518028148324,-0.00937627478074464
2025-03-28,-0.07150604406249966,-0.08154194009412805,-0.005522847333554931
2025-04-04,0.043355074363527576,0.03521813402939121,0.01769627542966601
2025-04-11,-0.0013906495041960492,0.0034454097947443614,-0.004316572542879805
2025-04-18,0.024959712136021155,0.027250047056945528,-0.0024830071186045747
