date,bl_portfolio_return,equal_weighted_return
2023-11-17,0.34661093850802127,0.5
2023-11-24,0.4015941490288659,0.5
2023-12-01,0.3400617917931848,0.5
2023-12-08,0.32534934142924377,0.5
2023-12-15,0.3876889083001877,0.5
2023-12-22,0.3162937408265473,0.5
2023-12-29,0.24869596003365685,0.5
2024-01-05,0.2669209194683287,0.5
2024-01-12,0.2944323012681302,0.5
2024-01-19,0.24899157813445943,0.5
2024-01-26,0.07772242628569531,0.5
2024-02-02,0.09287480380174035,0.5
2024-02-09,0.25305681640733657,0.5
2024-02-16,0.28092102974520994,0.5
2024-02-23,0.38953725833087544,0.5
2024-03-01,0.4435319363438432,0.5
2024-03-08,0.42654901190468575,0.5
2024-03-15,0.4321469055626202,0.5
2024-03-22,0.4258758191253561,0.5
2024-03-29,0.4062358079284898,0.5
2024-04-05,0.37317087157529505,0.5
2024-04-12,0.37634236851923153,0.5
2024-04-19,0.39190915998746195,0.5
2024-04-26,0.3962968187345612,0.5
2024-05-03,0.40865559045190136,0.5
2024-05-10,0.38368996935573607,0.5
2024-05-17,0.4193450623112876,0.5
2024-05-24,0.4328133733920256,0.5
2024-05-31,0.3324147262749694,0.5
2024-06-07,0.4637991533155768,0.5
2024-06-14,0.3756578878962347,0.5
2024-06-21,0.4559658525633166,0.5
2024-06-28,0.48407151257479003,0.5
2024-07-05,0.48969048113003705,0.5
2024-07-12,0.49999999999999994,0.5
2024-07-19,0.4811738992888037,0.5
2024-07-26,0.46418052053815884,0.5
2024-08-02,0.4562789104056535,0.5
2024-08-09,0.4835533118058902,0.5
2024-08-16,0.4408207422724116,0.5
2024-08-23,0.34753386800619424,0.5
2024-08-30,0.3295785366402111,0.5
2024-09-06,0.2093078415913275,0.5
2024-09-13,0.1703274246219194,0.5
2024-09-20,0.28807836502015005,0.5
2024-09-27,0.2827311145616638,0.5
2024-10-04,0.2287751087257341,0.5
2024-10-11,0.31186190127136987,0.5
2024-10-18,0.3403048071463957,0.5
2024-10-25,0.39449697022723,0.5
2024-11-01,0.2803036719414684,0.5
2024-11-08,0.19566336039541463,0.5
2024-11-15,0.348648044684836,0.5
2024-11-22,0.2825925709525159,0.5
2024-11-29,0.2517530497313135,0.5
2024-12-06,0.20588227368276726,0.5
2024-12-13,0.20543433271172173,0.5
2024-12-20,0.26354382364343937,0.5
2024-12-27,0.24402668160862204,0.5
2025-01-03,0.16555225530834955,0.5
2025-01-10,0.1722351995443001,0.5
2025-01-17,0.1413892404201309,0.5
2025-01-24,0.14132973708482094,0.5
2025-01-31,0.11880952020553276,0.5
2025-02-07,0.30930230150979776,0.5
2025-02-14,0.3593546387772877,0.5
2025-02-21,0.3937688907955542,0.5
2025-02-28,0.356532497194049,0.5
2025-03-07,0.3751347787874998,0.5
2025-03-14,0.34260678915394815,0.5
2025-03-21,0.28658458026559797,0.5
